Unnamed: 0,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price
1603,Chinese Thought: AncientWisdom Meets ModernScience - Part 2…,https://www.edx.org/course/chinese-thought-ancient-wisdom-meets-modern-scie-2,https://prod-discovery.edx-cdn.org/media/course/image/7cef2e2f-3e2a-4409-b8fe-4db30b3ee650-66710749b77d.jpg,['Introductory'],['4–6 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],['University of British Columbia'],['https://www.edx.org/school/ubcx'],not-mentioned,Humanities,UBCx: Chinese Thought: Ancient Wisdom Meets Modern Science - Part 2,None,None,Unknown,49
1604,Introduction to RetailManagement…,https://www.edx.org/course/introduction-to-retail-management,https://prod-discovery.edx-cdn.org/media/course/image/03b93c93-b538-4d7e-9024-cbe416d0dae3-59123ba032b0.jpg,['Introductory'],['3–5 hours per week'],['6 Weeks'],['English'],['English'],['$50 USD'],['Indian Institute of Management Bangalore'],['https://www.edx.org/school/iimbx'],not-mentioned,Business & Management,IIMBx: Introduction to Retail Management,None,None,Unknown,50
1605,Principles ofBiochemistry…,https://www.edx.org/course/principles-of-biochemistry,https://prod-discovery.edx-cdn.org/media/course/image/896f6184-731a-4dae-9e53-ef7a83e5606d-acc305e9f8d4.jpg,['Intermediate'],['4–6 hours per week'],['15 Weeks'],['English'],['English'],['$199 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"261,784",Medicine,HarvardX: Principles of Biochemistry,4.5,27,381826,299
1606,AnatomyX:Musculoskeletal Cases…,https://www.edx.org/course/anatomyx-musculoskeletal-cases,https://prod-discovery.edx-cdn.org/media/course/image/20574fb6-99b9-44cf-afa5-473d8337c7a8-c1588ba86fbd.jpg,['Intermediate'],['3–6 hours per week'],['7 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"106,842",Medicine,HarvardX: Human Anatomy: Musculoskeletal Cases,4.9,56,258919,209
1607,"Bioethics: The Law,Medicine, and Ethics ofReproductive Technolog……",https://www.edx.org/course/bioethics-the-law-medicine-and-ethics-of-reproduct,https://prod-discovery.edx-cdn.org/media/course/image/2df50737-b55d-48b7-a86f-77b326e3ee88-9c5471ae24d1.png,['Introductory'],['1–2 hours per week'],['10 Weeks'],['English'],['English'],['$149 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"84,234",Medicine,"HarvardX: Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",4.7,34,134623,219
1608,Lessons from Ebola:Preventing the NextPandemic…,https://www.edx.org/course/lessons-from-ebola-preventing-the-next-pandemic,https://prod-discovery.edx-cdn.org/media/course/image/e6aacefc-7ce9-4eda-ab78-18c35ca63c19-b9ae1fcbf9b6.jpg,['Introductory'],['3–5 hours per week'],['4 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"92,606",Social Sciences,HarvardX: Lessons from Ebola: Preventing the Next Pandemic,None,None,100547,149
1609,Improving Global Health:Focusing on Quality andSafety…,https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa,https://prod-discovery.edx-cdn.org/media/course/image/2f5692de-8f38-466c-b4fa-3e8fe42df639-7fa225befd20.jpg,['Intermediate'],['2–4 hours per week'],['10 Weeks'],['English'],['English'],['$99 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"129,624",Social Sciences,HarvardX: Improving Global Health: Focusing on Quality and Safety,4.6,56,163759,149
1610,"Prescription DrugRegulation, Cost, andAccess: Current Controv……",https://www.edx.org/course/prescription-drug-regulation-cost-and-access-curre,https://prod-discovery.edx-cdn.org/media/course/image/63b7029d-0eb4-40ba-8140-2f9781915ca4-de783ac6c899.jpg,['Introductory'],['2–5 hours per week'],['8 Weeks'],['English'],['English'],['$199 USD'],['Harvard University'],['https://www.edx.org/school/harvardx'],"82,184",Medicine,"HarvardX: Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",4.8,23,112763,299
1611,Medical Terminology…,https://www.edx.org/course/medical-terminology,https://prod-discovery.edx-cdn.org/media/course/image/efff5748-4be0-46e0-8762-58c281354435-1a6e7039a56b.jpg,['Introductory'],['5–10 hours per week'],['8 Weeks'],['English'],['English'],['$79 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"33,386",Biology & Life Sciences,DoaneX: Medical Terminology,4.5,32,75121,119
1612,Introducción a laRegulación Emocionalbasada en Mindfulness…,https://www.edx.org/course/introduccion-a-la-regulacion-emocional-basada-en-m,https://prod-discovery.edx-cdn.org/media/course/image/00974327-a514-4c69-abaf-581e9c892945-8ad13bc6b94e.jpg,['Introductory'],['5–6 hours per week'],['4 Weeks'],['Español'],['Español'],['$29 USD'],['Universidad Autónoma de Madrid'],['https://www.edx.org/school/uamx'],"22,060",Health & Safety,UAMx: Introducción a la Regulación Emocional basada en Mindfulness,4.8,14,45510,29
1613,COVID-19 Training forHealthcare Workers…,https://www.edx.org/course/covid-19-care-a-lifesaving-program-for-healthcare-providers,https://prod-discovery.edx-cdn.org/media/course/image/3d0d52e6-4ebe-45e3-84a2-fdc2afb2cac8-7de89584a0c9.jpeg,['Introductory'],['1–10 hours per week'],['2 Weeks'],['English'],['English'],['$10 USD'],['Stanford University'],['https://www.edx.org/school/stanfordonline'],"7,541",Medicine,StanfordOnline: COVID-19 Training for Healthcare Workers,5.0,7,Unknown,10
1614,Fundamentos deanatomía y técnicaquirúrgica básica…,https://www.edx.org/course/fundamentos-de-anatomia-y-tecnica-quirurgica-basic,https://prod-discovery.edx-cdn.org/media/course/image/760d56a2-69e4-45f7-9f8d-5de319a13714-7cbd294a434d.jpg,['Introductory'],['4–6 hours per week'],['4 Weeks'],['Español'],['Español'],['$49 USD'],['Universidad del Rosario'],['https://www.edx.org/school/urosariox'],"13,521",Medicine,URosarioX: Fundamentos de anatomía y técnica quirúrgica básica,None,None,45349,19
1615,Disaster MedicineTraining…,https://www.edx.org/course/disaster-medicine-training,https://prod-discovery.edx-cdn.org/media/course/image/2c3a98df-1e2c-4c1a-9024-a37996d62390-12b3ade121e2.png,['Introductory'],['1–2 hours per week'],['8 Weeks'],['English'],['English'],['$50 USD'],['Stanford University'],['https://www.edx.org/school/stanfordonline'],"11,911",None,None,None,None,None,None
1616,Global Public Health…,https://www.edx.org/course/global-public-health,https://prod-discovery.edx-cdn.org/media/course/image/e4315d22-de5d-4574-951a-be74baa8a8fa-88b0aeca55fb.jpg,['Intermediate'],['4–6 hours per week'],['10 Weeks'],['English'],['English'],['$49 USD'],['SDG Academy'],['https://www.edx.org/school/sdgacademyx'],"17,972",Health & Safety,SDGAcademyX: Global Public Health,4.6,32,34403,Unknown
