course_title,url,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,rating,number_of_ratings,update_date,number_of_students,time_since_creation
"Trading Mindset, and Three Steps To Profitable Trading",https://www.udemy.com/trading-mindset-steps-to-profitable-trading/,20,246,8,24,Beginner Level,1.5,2015-11-02T20:13:05Z,Finance & Accounting,3.7,14.0,11/2015,290.0,9
"Internal Controls - Design, Implementation and Monitoring",https://www.udemy.com/internal-controls/,195,62,6,27,Beginner Level,6.5,2017-03-20T18:42:56Z,Finance & Accounting,4.3,1819.0,3/2017,7207.0,7
Winning Options Trading System,https://www.udemy.com/winning-options-trading-system/,105,367,11,24,All Levels,7.5,2013-10-09T21:12:00Z,Finance & Accounting,4.1,47.0,10/2013,582.0,11
Credit Control Procedures,https://www.udemy.com/credit-control/,20,3,0,6,All Levels,0.5666666666666667,2014-09-22T03:58:46Z,Finance & Accounting,3.9,56.0,5/2017,132.0,10
FMT: Forex Market Trader Certificate,https://www.udemy.com/fmtcertificate/,20,1,0,27,All Levels,2.0,2016-03-17T17:43:59Z,Finance & Accounting,3.7,36.0,12/2018,108.0,8
UK Tax Returns with HMRC,https://www.udemy.com/corporation-tax-returns-hmrc/,40,2,0,11,Beginner Level,1.0,2016-04-05T15:48:32Z,Finance & Accounting,2.7,31.0,6/2017,174.0,8
Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),https://www.udemy.com/trade-rsi-breakout-strategy-great-riskreward-ratio-forex/,200,66,12,19,All Levels,2.0,2017-05-01T19:56:30Z,Finance & Accounting,3.8,50.0,6/2018,315.0,7
"Day trading strategy for all levels, with 72% success rate",https://www.udemy.com/1-shot-1kill/,95,51,9,15,All Levels,0.5333333333333333,2017-03-02T16:25:56Z,Finance & Accounting,4.0,138.0,4/2021,1074.0,7
"Accounting, Finance and Banking - A Comprehensive Study",https://www.udemy.com/accounting-finance-and-banking-a-comprehensive-study/,180,507,36,395,All Levels,33.0,2015-03-26T18:01:39Z,Finance & Accounting,4.6,620.0,6/2021,3668.0,9
Advanced Technical Analysis PART1!,https://www.udemy.com/advanced-technical-analysis-part1/,100,9,1,19,Intermediate Level,3.0,2017-06-27T22:00:27Z,Finance & Accounting,4.7,1505.0,6/2017,8201.0,7
Advanced Financial Management for CA/CMA/CFA/ACCA/CS/MBA,https://www.udemy.com/advanced-financial-management-a-comprehensive-study/,150,375,15,194,All Levels,24.5,2015-11-03T18:22:32Z,Finance & Accounting,4.4,812.0,11/2022,10537.0,9
Learn the Foundations of Stocks and Options,https://www.udemy.com/learn-how-to-trade-stocks-and-options/,50,80,18,63,Beginner Level,7.5,2016-08-11T21:18:34Z,Finance & Accounting,4.7,229.0,8/2016,1030.0,8
Introduction to Accounting - Analyzing Financial Statements,https://www.udemy.com/introduction-to-accounting-analyzing-financial-statements/,60,37,15,12,Intermediate Level,1.0,2016-12-13T21:12:10Z,Finance & Accounting,4.3,21.0,12/2016,57.0,8
Credit Risk Analysis,https://www.udemy.com/credit-specific-analysis/,20,194,24,19,Intermediate Level,3.5,2016-01-28T22:09:01Z,Finance & Accounting,4.0,335.0,2/2016,1237.0,8
Python for Trading & Investing,https://www.udemy.com/python-for-trading-investing/,95,638,25,36,All Levels,5.0,2015-06-17T22:23:31Z,Finance & Accounting,3.0,55.0,4/2018,836.0,9
Stock Market - Swing Trading Strategies for Wall Street,https://www.udemy.com/get-rich-to-a-millions-using-swing-trading-strategies/,50,814,9,5,All Levels,1.0,2015-01-09T04:22:24Z,Finance & Accounting,3.0,12.0,1/2015,847.0,9
Essential Options: Strategies for Mastering the Stock Market,https://www.udemy.com/essentialoptions/,50,211,9,27,Intermediate Level,5.0,2013-03-06T05:28:43Z,Finance & Accounting,4.3,40.0,3/2013,381.0,11
Introduction To The World Of Equity Finance,https://www.udemy.com/equity-finance-basics/,20,29,9,32,All Levels,2.0,2015-12-08T17:12:06Z,Finance & Accounting,3.8,21.0,12/2015,80.0,9
Mortgage Backed Securities (MBS): Basic to Advanced,https://www.udemy.com/mortgage-backed-securities/,50,376,29,21,All Levels,3.5,2014-03-13T12:47:09Z,Finance & Accounting,4.5,1026.0,10/2023,4681.0,10
"Fundamental Financial Math: Uses, Applications & Quizzes",https://www.udemy.com/fundamental-financial-math/,50,406,13,15,All Levels,2.5,2014-03-04T19:36:43Z,Finance & Accounting,4.8,502.0,10/2023,3365.0,10
Deep Dive Into Equity Swaps,https://www.udemy.com/equity-swaps/,50,394,25,18,All Levels,3.0,2014-03-13T22:12:01Z,Finance & Accounting,4.5,495.0,1/2023,3286.0,10
Read financial statements as a stock investor,https://www.udemy.com/read-financial-statements-to-be-a-stock-investor/,20,56,8,18,Beginner Level,2.0,2015-07-10T19:32:16Z,Finance & Accounting,4.1,51.0,11/2022,328.0,9
Certificate Program in Financial Accounting,https://www.udemy.com/certificate-program-in-financial-accounting/,50,1047,3,20,All Levels,4.5,2014-04-24T10:56:31Z,Finance & Accounting,4.4,21.0,4/2014,1082.0,10
Trading Biotech Stocks - Understanding the Healthcare Sector,https://www.udemy.com/trading-biotech-stocks/,55,166,17,16,All Levels,1.5,2015-04-24T21:22:27Z,Finance & Accounting,4.4,139.0,5/2015,562.0,9
Fundraising Success: The Art & Science of Major Gifts,https://www.udemy.com/fundraising-success-the-art-science-of-major-gifts/,50,38,9,25,Intermediate Level,2.5,2016-05-27T17:16:58Z,Finance & Accounting,4.1,64.0,5/2016,289.0,8
Technical Trading and Investing Made Easy,https://www.udemy.com/technical-trading-and-investing-made-easy/,40,217,7,27,Intermediate Level,1.5,2014-12-24T22:46:08Z,Finance & Accounting,4.5,20.0,12/2014,278.0,10
Budgeting for Business,https://www.udemy.com/budgeting-for-business/,40,78,22,25,All Levels,2.5,2016-01-11T20:46:47Z,Finance & Accounting,4.5,1895.0,1/2016,5827.0,8
The Business Loan Formula,https://www.udemy.com/complete-guide-to-business-loans/,30,35,4,35,Beginner Level,1.5,2015-12-04T05:11:46Z,Finance & Accounting,4.5,613.0,2/2023,2746.0,9
Hot Trading Investing Strategy: ETF and Futures,https://www.udemy.com/learn-to-trade-stocks-and-futures-with-profitable-strategy/,50,80,10,13,All Levels,2.5,2014-12-08T07:07:22Z,Finance & Accounting,4.2,27.0,12/2014,191.0,10
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,https://www.udemy.com/financial-management-a-complete-study/,190,1941,128,527,All Levels,71.5,2014-12-22T16:57:30Z,Finance & Accounting,4.4,2897.0,11/2022,25269.0,10
MQL4 Programming for Traders: Build Robust Trading Robots!,https://www.udemy.com/algorithmic-trading-bootcamp-metatrader4/,195,1367,33,74,All Levels,7.0,2016-02-22T00:31:08Z,Finance & Accounting,4.8,1013.0,10/2019,5907.0,8
Ultimate Stock Market Investing: Learn How to Value Stocks,https://www.udemy.com/stock-investing/,50,1519,40,46,All Levels,3.5,2015-11-03T00:09:31Z,Finance & Accounting,4.4,582.0,6/2020,4458.0,9
Collection of Advanced Options concepts for Options traders,https://www.udemy.com/advanced-options-concepts-for-options-stock-traders/,40,2025,34,9,Expert Level,1.0,2015-04-13T23:02:21Z,Finance & Accounting,4.4,81.0,9/2021,2482.0,9
No Bull Investing: Investing 101 For Financial Freedom,https://www.udemy.com/no-bull-investing-investing-101-for-financial-freedom/,100,1213,12,25,Beginner Level,6.5,2017-03-13T22:53:07Z,Finance & Accounting,4.8,37.0,4/2017,1414.0,7
Financial Modeling - Build Your Own 3 Statement Projection,https://www.udemy.com/financial-modelling-build-your-own-3-statement-projection/,20,1092,48,13,Beginner Level,1.0,2016-07-05T20:58:26Z,Finance & Accounting,4.1,87.0,11/2019,1351.0,8
Successful Day Trading with Fibonacci,https://www.udemy.com/use-fibonacci-on-thinkorswim-to-day-trade/,200,869,135,11,All Levels,2.0,2015-08-31T19:54:34Z,Finance & Accounting,4.3,243.0,1/2019,1353.0,9
Short Straddles - Exploit Earnings Option Volatility Crush,https://www.udemy.com/short-straddles-exploit-option-volatility-crush/,60,59,8,7,Expert Level,0.5833333333333334,2017-05-24T14:45:31Z,Finance & Accounting,4.3,53.0,9/2021,437.0,7
Trading for Profit: 10 Primary Candlestick Reversal Patterns,https://www.udemy.com/trading-stocks-successfully-01-ten-primary-reversal-patterns/,95,1741,85,84,All Levels,7.0,2014-10-05T16:09:30Z,Finance & Accounting,4.5,339.0,1/2024,8556.0,10
Intro to Financial Statement Audits,https://www.udemy.com/intro-financial-statement-audits/,50,1,0,9,Intermediate Level,1.5,2017-06-29T18:09:01Z,Finance & Accounting,3.9,178.0,6/2017,656.0,7
Unleashing the Power of Numbers in Your Business Plan,https://www.udemy.com/numbers-for-the-business-plan/,20,210,1,12,All Levels,1.5,2014-09-22T05:12:53Z,Business,3.7,11.0,7/2023,236.0,10
Financial Risk Manager (FRM) Certification: Level II,https://www.udemy.com/financial-risk-manager-frm-certification-level-ii/,50,86,7,87,All Levels,47.0,2013-07-24T03:18:38Z,Finance & Accounting,3.9,31.0,9/2017,306.0,11
Level 1 2014 CFA® Program – Corporate Finance,https://www.udemy.com/level-1-2014-cfa-program-corporate-finance/,40,204,1,18,All Levels,3.0,2014-06-21T05:43:33Z,Finance & Accounting,4.3,3.0,6/2014,223.0,10
Trading Strategy Layout and Backtesting Process,https://www.udemy.com/strategy-layout-and-backtesting/,200,36,2,24,Expert Level,4.0,2016-09-21T19:36:22Z,Finance & Accounting,3.8,12.0,10/2016,164.0,8
Finanzas y Análisis Financiero: Manejo Seguro de Negocios,https://www.udemy.com/finanzas-y-analisis-financiero-manejo-seguro-de-negocios/,20,50,18,13,Beginner Level,1.5,2014-12-16T03:10:02Z,Finance & Accounting,4.3,255.0,12/2014,979.0,10
Aprende a hacer paper trading (simulación) con Ninja Trader,https://www.udemy.com/aprende-a-hacer-paper-trading-simulacion-con-ninja-trader/,25,148,3,15,Beginner Level,1.5,2013-11-15T17:53:03Z,Finance & Accounting,3.8,19.0,11/2014,205.0,11
Trading mit kleinen Konten - Grundlagen die du kennen musst,https://www.udemy.com/werden-sie-privater-trader-im-forex-cfd-oder-rohstoffmarkt/,80,74,4,20,Beginner Level,3.5,2017-03-29T00:06:21Z,Finance & Accounting,3.7,97.0,8/2017,806.0,7
Trading Forex - L'analyse des volumes,https://www.udemy.com/trading-forex-lanalyse-des-volumes/,70,4,3,13,All Levels,2.0,2017-06-29T21:32:21Z,Finance & Accounting,4.226798748696559,182.0,5/2021,936.0,7
