url,title,subject,level,total_length,rating,num_ratings,price,num_students,past_num_students,online_academy
https://www.udemy.com/illustrator-cc-design-and-drawing-from-scratch-to-expert/,Illustrator CC: Design and drawing from scratch to expert!,Design,Beginner Level,11.0,4.4,346.0,150.0,3764.0,2427.0,Udemy
https://www.udemy.com/javascript-in-action-learn-javascript-projects/,JavaScript in Action JavaScript Projects,Development,Beginner Level,1.5,3.7,160.0,150.0,14631.0,7720.0,Udemy
https://www.udemy.com/masterwcf/,Mastering WCF 4.0 From Scratch Using C#,Development,All Levels,7.0,4.3,439.0,50.0,2341.0,415.0,Udemy
https://www.edx.org/course/sensor-fusion-and-non-linear-filtering-for-automot,ChalmersX: Sensor Fusion and Non-linear Filtering for Automotive Systems,Development,Expert Level,120.0,4.5066793893129775,21.236641221374047,299.0,15663.0,51943.173363949485,edX
https://www.edx.org/course/drones-for-agriculture-prepare-and-design-your-dro,WageningenX: Drones for Agriculture: Prepare and Design Your Drone (UAV) Mission,Development,Intermediate Level,24.0,4.5066793893129775,21.236641221374047,209.0,17925.0,8274.0,edX
https://www.udemy.com/learn-adobe-illustrator-semi-automatic-mandalas-drawing/,Learn Adobe Illustrator: Semi-Automatic Mandalas Drawing,Design,All Levels,1.0,4.3,97.0,200.0,1661.0,1076.0,Udemy
https://www.udemy.com/stockmarketsuccesssecretsauce/,Stock Market Success : Secret Sauce - Stock Market Trading,Finance & Accounting,All Levels,3.0,3.6,176.0,200.0,5606.0,23.0,Udemy
https://www.udemy.com/forex-trading-plan/,Forex Trading Plan,Finance & Accounting,All Levels,0.7,3.2,14.0,50.0,84.0,21.0,Udemy
https://www.edx.org/course/identity-in-hyperledger-aries-indy-and-ursa,LinuxFoundationX: Introduction to Hyperledger Self-Sovereign Identity Blockchain Solutions,Development,Beginner Level,21.0,4.5066793893129775,21.236641221374047,249.0,12794.0,51943.173363949485,edX
https://www.udemy.com/html5-css3-and-javascript-fundamentals-2016/,"HTML5, CSS3 And JavaScript Fundamentals 2016",Development,All Levels,1.0,3.4,132.0,115.0,650.0,627.0,Udemy
https://www.edx.org/course/anatomyx-musculoskeletal-cases,HarvardX: Human Anatomy: Musculoskeletal Cases,Health,Intermediate Level,42.0,4.9,56.0,209.0,258919.0,106842.0,edX
https://www.udemy.com/typography-learn-the-foundation-and-designs/,Typography: Learn the Foundation and Designs,Design,All Levels,2.5,3.2,34.0,135.0,363.0,220.0,Udemy
https://www.udemy.com/get-out-of-debt-the-power-of-using-compounding-interest/,Get out of Debt - The Power of Using Compounding Interest,Finance & Accounting,All Levels,2.0,4.2,10.0,50.0,1243.0,1195.0,Udemy
https://www.udemy.com/financial-accounting-for-beginners/,Financial Accounting For Beginners,Finance & Accounting,All Levels,1.5,4.2,20.0,60.0,229.0,164.0,Udemy
https://www.edx.org/course/it-fundamentals-for-business-professionals-softwar,UPValenciaX: IT Fundamentals for Business Professionals: Software development,Development,Beginner Level,18.0,4.5066793893129775,21.236641221374047,69.0,14755.0,12891.0,edX
https://www.udemy.com/angular-2-jump-start-with-typescript/,Angular 2 Jump Start With Typescript,Development,All Levels,4.0,4.1,96.0,20.0,1851.0,1731.0,Udemy
https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,Weekly Options Trading - Credit Spreads & Iron Condors,Finance & Accounting,Intermediate Level,1.0,4.2,3216.0,115.0,17463.0,7489.0,Udemy
https://www.udemy.com/pure-modal-magic/,Pure Modal Magic: A Complete Guitar Scales and Modes Kit.,Music,All Levels,2.0,4.4,65.0,50.0,911.0,52.0,Udemy
https://www.udemy.com/piano-from-zero-to-pro-beginner-essentials-to-play-by-ear-amosdoll/,Piano From Zero To Pro - Beginner Essentials To The Piano,Music,Beginner Level,3.5,4.7,437.0,70.0,1911.0,811.0,Udemy
https://www.udemy.com/gestao-financeira/,Gestão Financeira Para Pequenas e Médias Empresas,Finance & Accounting,All Levels,4.5,4.7,9.579,115.0,35272.0,1284.0,Udemy
https://www.edx.org/course/internet-de-las-cosas-iot-y-big-data,URosarioX: Internet de las cosas (IoT) y Big Data,Development,Intermediate Level,24.0,4.5066793893129775,21.236641221374047,39.0,9287.0,51943.173363949485,edX
https://www.udemy.com/bullet-proof-options-controlled-leverage-investing-secrets/,Advanced Stock Options for Serious Equity Investors!,Finance & Accounting,Expert Level,1.5,3.6,33.0,200.0,1357.0,1271.0,Udemy
https://www.udemy.com/a-frame-webvr/,A-Frame Web VR Programming Tutorial Series (Virtual Reality),Development,Beginner Level,1.5,4.5,166.0,40.0,29150.0,6648.0,Udemy
https://www.edx.org/course/soy-docente-que-miedo-gestiona-eficazmente-tus-emo,"UAMx: Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",Teaching & Academics,Beginner Level,16.0,4.5066793893129775,21.236641221374047,29.0,6993.0,51943.173363949485,edX
https://www.udemy.com/learn-angularjs-development/,Projects in AngularJS - Learn by building 10 Projects,Development,All Levels,14.5,4.4,852.0,40.0,8416.0,7146.0,Udemy
https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,"Master ""Technical Analysis and Chart reading skills"" Bundle",Finance & Accounting,All Levels,3.0,4.3,1529.0,120.0,8869.0,3348.0,Udemy
https://www.udemy.com/all-about-nodejs/,All about NodeJS,Development,All Levels,15.5,4.5,1865.0,50.0,15322.0,8755.0,Udemy
https://www.udemy.com/wordpress-theme-and-plugin-development-course/,Complete WordPress Theme & Plugin Development Course,Development,All Levels,5.5,4.6,3926.0,200.0,21591.0,103.0,Udemy
https://www.edx.org/course/introduction-to-bioconductor-annotation-and-analys,HarvardX: Introduction to Bioconductor,Sciences,Intermediate Level,16.0,4.5066793893129775,21.236641221374047,219.0,51870.0,37034.0,edX
https://www.udemy.com/greensleeves-creative-piano-lessons-course/,'Greensleeves' Creative Piano Lessons Course,Music,All Levels,2.0,5.0,4.0,20.0,79.0,10.0,Udemy
https://www.udemy.com/jquery-create-modal-popup-windows-from-scratch-using-jquery/,JQuery Create Overlay Popups from scratch using Jquery,Development,All Levels,2.5,4.4,1728.2865544013123,50.0,12656.0,4407.0,Udemy
https://www.edx.org/course/operations-management,IIMBx: Operations Management,Business,Intermediate Level,28.0,4.4,39.0,150.0,172497.0,128545.0,edX
https://www.edx.org/course/age-of-sustainable-development,SDGAcademyX: Age of Sustainable Development,Social Sciences,Intermediate Level,84.0,4.8,22.0,142.28481149012566,16596.0,10308.0,edX
https://www.edx.org/course/produccion-musical-y-su-efecto-en-la-composicion-2,BerkleeX: Producción musical y su efecto en la composición,Music,Beginner Level,30.0,4.5066793893129775,21.236641221374047,59.0,15533.0,8138.0,edX
https://www.udemy.com/backbonejs-tutorial/,Backbone Tutorial: Learn Backbonejs from Scratch,Development,All Levels,5.5,4.6,1983.0,90.0,10469.0,4957.0,Udemy
https://www.udemy.com/forex-trading-strategy-technical-analysis/,Forex Trading - Learn An Effective Forex Trading Strategy,Finance & Accounting,All Levels,1.5,3.5,85.0,95.0,428.0,223.0,Udemy
https://www.udemy.com/flamenco-guitar-a/,Flamenco Guitar,Music,Beginner Level,4.0,4.8,727.0,25.0,4928.0,136.0,Udemy
https://www.edx.org/course/cyber-security-basics-a-hands-on-approach,UC3Mx: Cyber Security Basics: A Hands-on Approach,Development,Intermediate Level,42.0,4.5066793893129775,21.236641221374047,119.0,82354.0,69681.0,edX
https://www.udemy.com/learn-guitar-in-21-days/,Learn Guitar in 21 Days,Music,Beginner Level,2.5,4.5,3302.0,20.0,89952.0,26504.0,Udemy
https://www.udemy.com/photo-manipulation-in-gimp/,Fun with Photos: Photobashing and Photo Manipulation (2021),Design,All Levels,2.0,4.0,16.0,20.0,300.0,34.0,Udemy
https://www.edx.org/course/basic-spanish-2-one-step-further,UPValenciaX: Basic Spanish 2: One Step Further,Language,Beginner Level,20.0,4.5,18.0,39.0,101518.0,70085.0,edX
https://www.udemy.com/xml-xslt-crash-course-for-beginners/,XML XSLT - Crash Course for Beginners,Development,All Levels,1.0,3.7,63.0,45.0,618.0,426.0,Udemy
https://www.udemy.com/learn-about-trading-options-from-a-former-stockbroker/,Learn About Trading Options from a real wallstreet trader,Finance & Accounting,All Levels,1.0,3.5,87.0,20.0,1314.0,1046.0,Udemy
https://www.edx.org/course/water-and-wastewater-treatment-engineering-physico,TsinghuaX: Water and Wastewater Treatment Engineering: Physicochemical Technology | 水处理工程：物理化学方法,Sciences,Beginner Level,60.0,4.5066793893129775,21.236641221374047,179.0,19052.0,17161.0,edX
https://www.udemy.com/world-percussion-lessons-for-everyone/,World Percussion: Complete Lessons for Everyone,Music,All Levels,4.0,4.6,164.0,40.0,1057.0,68.0,Udemy
https://www.udemy.com/stock-market-investmentnon-financial-fundamental-analysis/,Stock Market investment: Non financial fundamental analysis,Finance & Accounting,Beginner Level,3.0,3.6,33.0,125.0,1281.0,1091.0,Udemy
https://www.udemy.com/gitarrenakkordespielenwiedieprofis/,Gitarre spielen wie die Profis,Music,Beginner Level,2.0,4.7,233.0,20.0,3947.0,1981.0,Udemy
https://www.edx.org/course/advanced-corporate-strategy,IIMBx: Advanced Corporate Strategy,Business,Expert Level,20.0,4.5066793893129775,21.236641221374047,189.0,7368.0,51943.173363949485,edX
https://www.udemy.com/the-big-volatility-short/,The Big Volatility Short: The Best Trade On Wall Street!,Finance & Accounting,All Levels,1.5,4.6,110.0,200.0,792.0,224.0,Udemy
