course_url,course_level,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price,total_length
https://www.edx.org/course/astrophysics-cosmology,Intermediate Level,84311.0,Sciences,ANUx: Astrophysics: Cosmology,4.8,19.0,99112,59.0,40.0
https://www.edx.org/course/greatest-unsolved-mysteries-of-the-universe,Intermediate Level,94949.0,Sciences,ANUx: Greatest Unsolved Mysteries of the Universe,4.9,17.0,113499,59.0,36.0
https://www.edx.org/course/introduction-to-astrophysics,Beginner Level,21626.0,Sciences,EPFLx: Introduction to Astrophysics,4.0,5.0,41592,179.0,28.0
https://www.edx.org/course/hardware-of-quantum-computer,Intermediate Level,20712.0,Sciences,DelftX: The Hardware of a Quantum Computer,4.7,6.0,28059,149.0,48.0
https://www.edx.org/course/astrophysics-the-violent-universe,Intermediate Level,66109.0,Sciences,ANUx: Astrophysics: The Violent Universe,4.7,9.0,72869,59.0,40.0
https://www.edx.org/course/disena-fabrica-y-programa-tu-propio-robot,Beginner Level,25410.0,Development,"UPValenciaX: Diseña, fabrica y programa tu propio robot",4.5066793893129775,21.236641221374047,33631,69.0,60.0
https://www.edx.org/course/sustainable-soil-management-soil-for-life,Beginner Level,22786.0,Sciences,WageningenX: Sustainable Soil Management: Soil for life,4.6,5.0,28824,209.0,70.0
https://www.edx.org/course/architecture-algorithms-quantum-computer-internet,Intermediate Level,8748.0,Sciences,"DelftX: Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",4.5066793893129775,21.236641221374047,12997,149.0,48.0
https://www.edx.org/course/sar-hazards,Intermediate Level,51943.173363949485,Sciences,AlaskaX: Synthetic Aperture Radar: Hazards,4.5066793893129775,21.236641221374047,5716,229.0,36.0
https://www.edx.org/course/astrophysics-exploring-exoplanets,Intermediate Level,48823.0,Sciences,ANUx: Astrophysics: Exploring Exoplanets,4.7,10.0,54088,59.0,36.0
https://www.edx.org/course/the-quantum-internet-and-quantum-computers-how-w-2,Beginner Level,15421.0,Sciences,DelftX: The Quantum Internet and Quantum Computers: How Will They Change the World?,4.5066793893129775,21.236641221374047,19823,139.0,18.0
https://www.edx.org/course/fundamentos-de-mecanica-para-ingenieria,Beginner Level,14515.0,Sciences,UPValenciaX: Fundamentos de Mecánica para Ingeniería,4.5066793893129775,21.236641221374047,22640,19.0,24.0
https://www.edx.org/course/cosmic-rays-dark-matter-and-the-mysteries-of-the-2,Intermediate Level,12983.0,Sciences,"WasedaX: Cosmic Rays, Dark Matter, and the Mysteries of the Universe",4.5066793893129775,21.236641221374047,14080,59.0,20.0
https://www.edx.org/course/fundamentals-of-biomedical-imaging-ultrasounds-x-r,Expert Level,10539.0,Development,"EPFLx: Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",4.5066793893129775,21.236641221374047,16794,209.0,35.0
https://www.edx.org/course/fundamentos-de-electromagnetismo-para-ingenieria,Beginner Level,15239.0,Sciences,UPValenciaX: Fundamentos de Electromagnetismo para Ingeniería,4.5066793893129775,21.236641221374047,18445,19.0,35.0
https://www.edx.org/course/understanding-nuclear-energy,Intermediate Level,16168.0,Development,DelftX: Understanding Nuclear Energy,4.5066793893129775,21.236641221374047,20966,139.0,36.0
https://www.edx.org/course/quantum-mechanics-of-molecular-structures,Intermediate Level,21913.0,Sciences,UTokyoX: Quantum Mechanics of Molecular Structures,4.5066793893129775,21.236641221374047,25921,59.0,36.0
https://www.edx.org/course/plasma-physics-introduction,Intermediate Level,13805.0,Development,EPFLx: Plasma Physics: Introduction,4.5066793893129775,21.236641221374047,18344,209.0,48.0
https://www.edx.org/course/fundamentals-of-biomedical-imaging-magnetic-resona,Expert Level,9317.0,Development,EPFLx: Fundamentals of Biomedical Imaging: Magnetic Resonance Imaging (MRI),4.5066793893129775,21.236641221374047,12224,259.0,30.0
https://www.edx.org/course/cement-chemistry-and-sustainable-cementitious-mate,Intermediate Level,6015.0,Sciences,EPFLx: Cement Chemistry and Sustainable Cementitious Materials,4.5066793893129775,21.236641221374047,9709,249.0,24.0
https://www.edx.org/course/energias-convencionales-limpias-y-su-tecnologia,Intermediate Level,6785.0,Development,"TecdeMonterreyX: Energías convencionales, limpias y su tecnología",4.5066793893129775,21.236641221374047,9294,39.0,35.0
https://www.edx.org/course/hydraulics,Beginner Level,9875.0,Sciences,TsinghuaX: 水力学 | Hydraulics,4.5066793893129775,21.236641221374047,11498,179.0,40.0
https://www.edx.org/course/neuronal-dynamics,Expert Level,17446.0,Development,EPFLx: Neuronal Dynamics,4.5066793893129775,21.236641221374047,20736,179.0,49.0
https://www.edx.org/course/introduction-a-lastrophysique-2,Intermediate Level,11915.0,Sciences,EPFLx: Introduction à l'astrophysique,4.5066793893129775,21.236641221374047,13436,179.0,28.0
https://www.edx.org/course/leau-et-les-sols-hydrodynamique-des-milieux-poreux,Expert Level,5161.0,Development,LouvainX: L’eau et les sols - Hydrodynamique des milieux poreux,4.5066793893129775,21.236641221374047,6446,99.0,84.0
https://www.edx.org/course/plasma-physics-applications,Intermediate Level,6531.0,Development,EPFLx: Plasma Physics: Applications,4.5066793893129775,21.236641221374047,8129,209.0,60.0
https://www.edx.org/course/solar-energy-photovoltaic-pv-systems,Expert Level,24155.0,Development,DelftX: Solar Energy: Photovoltaic (PV) Systems,4.5066793893129775,21.236641221374047,36347,250.0,121.0
https://www.edx.org/course/quantum-mechanics-for-everyone,Beginner Level,38157.0,Sciences,GeorgetownX: Quantum Mechanics for Everyone,4.8,6.0,49513,89.0,60.0
https://www.edx.org/course/solar-energy-integration-of-photovoltaic-systems-i,Expert Level,20427.0,Development,DelftX: Solar Energy: Integration of Photovoltaic Systems in Microgrids,4.5066793893129775,21.236641221374047,26654,250.0,99.0
https://www.edx.org/course/solar-energy-photovoltaic-pv-technologies,Expert Level,20249.0,Development,DelftX: Solar Energy: Photovoltaic (PV) Technologies,4.5066793893129775,21.236641221374047,25215,250.0,121.0
https://www.edx.org/course/the-basics-of-transport-phenomena,Beginner Level,25103.0,Development,DelftX: The Basics of Transport Phenomena,4.5066793893129775,21.236641221374047,28791,139.0,56.0
https://www.edx.org/course/advanced-fluid-mechanics-1,Expert Level,51943.173363949485,Development,MITx: Advanced Fluid Mechanics 1: Fundamentals,4.5066793893129775,21.236641221374047,21477,89.0,72.0
https://www.edx.org/course/super-earths-and-life,Beginner Level,51943.173363949485,Sciences,HarvardX: Super-Earths and Life,4.8,28.0,143761,149.0,75.0
https://www.edx.org/course/on-ramp-to-ap-physics-c-mechanics,Beginner Level,51943.173363949485,Sciences,WestonHS: On-Ramp to AP* Physics C: Mechanics,4.5066793893129775,21.236641221374047,16824,29.0,4.0
https://www.edx.org/course/space-mission-design-and-operations,Intermediate Level,51943.173363949485,Development,EPFLx: Space Mission Design and Operations,4.8,5.0,30199,59.0,32.0
https://www.edx.org/course/sustainable-energy-design-a-renewable-future,Intermediate Level,51943.173363949485,Development,DelftX: Sustainable Energy: Design a Renewable Future,4.2,12.0,39759,62.0,72.0
https://www.edx.org/course/principle-of-semiconductor-devices-part-ii-field-e,Intermediate Level,51943.173363949485,Development,HKUSTx: Basics of Field Effect Transistors and Technology Scaling,4.5066793893129775,21.236641221374047,5245,189.0,35.0
https://www.edx.org/course/synchrotrons-and-x-ray-free-electron-lasers,Expert Level,51943.173363949485,Sciences,EPFLx: Synchrotrons and X-Ray Free Electron Lasers (part 1),4.5066793893129775,21.236641221374047,8747,169.0,30.0
https://www.edx.org/course/ielts-academic-test-preparation,Beginner Level,1131449.0,Business,UQx: IELTS Academic Test Preparation,4.7,35.0,1626476,219.0,80.0
https://www.edx.org/course/toefl-test-preparation-the-insiders-guide,Beginner Level,1051561.0,Business,ETSx: TOEFL iBT Test Preparation: The Insider’s Guide,4.6,76.0,1527899,60.0,24.0
https://www.edx.org/course/fundamentos-de-ingles-basico-conversacional-y-networking,Beginner Level,94492.0,Business,AnahuacX: Inglés básico: conversacional y networking,4.2,31.0,294079,39.0,32.0
https://www.edx.org/course/basic-spanish-1-getting-started,Beginner Level,412039.0,Business,UPValenciaX: Basic Spanish 1: Getting Started,4.5,63.0,598014,29.0,35.0
https://www.edx.org/course/leaders-of-learning,Beginner Level,234900.0,Business,HarvardX: Leaders of Learning,4.6,224.0,363467,209.0,40.0
https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2,Beginner Level,58745.0,Language,WasedaX: Steps in Japanese for Beginners1 Part1,4.5,7.0,122778,59.0,25.0
https://www.edx.org/course/managing-study-stress-and-mental-health-at-univers,Beginner Level,24960.0,Health,"CurtinX: Managing Study, Stress and Mental Health at University",4.5066793893129775,21.236641221374047,28831,59.0,6.0
https://www.edx.org/course/conversational-english-skills,Beginner Level,304720.0,Business,TsinghuaX: Conversational English Skills | 生活英语听说,4.7,6.0,367352,219.0,40.0
https://www.edx.org/course/exercising-leadership-foundational-principles,Beginner Level,78232.0,Business,HarvardX: Exercising Leadership: Foundational Principles,4.6,402.0,587430,209.0,12.0
https://www.edx.org/course/el-cerebro-y-las-emociones-en-el-lenguaje,Beginner Level,42852.0,Business,URosarioX: El cerebro y las emociones en el lenguaje,4.6,5.0,63035,49.0,25.0
